RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
394658,133,"Gulfport, MS",msa,MS,164945.0,164849.0,162510.0,159380.0,156158.0,164037.0,166355.0,172424.0,172112.0,170474.0,170869.0,171217.0,173078.0,171947.0,171852.0,174738.0,176319.0,181959.0,185315.0,189300.0,184326.0,190238.0,189395.0,192425.0,190204.0,195418.0,203640.0,205067.0,206126.0,200293.0,198801.0,204395.0,210576.0,214482.0,211787.0,212206.0,214918.0,217406.0,222690.0,222647.0,222776.0,223318.0,227438.0,237770.0,243774.0,249475.0,246950.0,243050.0,238289.0,237413.0,233620.0,234461.0,229445.0,238762.0,237240.0,238747.0,238063.0,244638.0,250780.0,250221.0,247005.0,242954.0,241810.0,244060.0,243009.0,234800.0,234882.0
395051,134,"Salisbury, MD",msa,DE,283430.0,287159.0,291959.0,298167.0,284735.0,279682.0,279395.0,293919.0,294329.0,299634.0,296761.0,328084.0,332979.0,339752.0,316343.0,320683.0,314614.0,312508.0,308241.0,323845.0,332554.0,321823.0,314793.0,323701.0,347288.0,366960.0,375706.0,378683.0,385780.0,375015.0,380181.0,377418.0,393333.0,418733.0,420193.0,433865.0,414210.0,427221.0,416277.0,420850.0,424103.0,421833.0,426832.0,429717.0,438385.0,452943.0,453624.0,448170.0,454603.0,452151.0,451452.0,440630.0,488794.0,493359.0,479258.0,440074.0,446587.0,452813.0,451618.0,448902.0,454468.0,467924.0,481021.0,481366.0,479013.0,464285.0,469068.0
394596,135,"Flint, MI",msa,MI,153692.0,152363.0,157757.0,153215.0,153343.0,142674.0,143614.0,141781.0,147359.0,147274.0,151305.0,160314.0,163168.0,162990.0,154378.0,150934.0,151555.0,147545.0,151119.0,155214.0,162166.0,162716.0,161761.0,161571.0,161590.0,166431.0,169215.0,173457.0,171366.0,173962.0,171787.0,172719.0,172348.0,180115.0,179188.0,178682.0,174389.0,183739.0,191415.0,194266.0,189631.0,185556.0,186389.0,189015.0,191882.0,194515.0,196793.0,194650.0,197601.0,192561.0,194258.0,189209.0,190999.0,187938.0,189034.0,190795.0,191471.0,195393.0,195404.0,197486.0,199711.0,199379.0,196473.0,186806.0,187900.0,188948.0,192415.0
394972,136,"Peoria, IL",msa,IL,144573.0,146929.0,140349.0,140504.0,137746.0,140638.0,137564.0,138068.0,136291.0,136605.0,139186.0,139781.0,138113.0,135777.0,138604.0,143151.0,146915.0,144299.0,142608.0,143605.0,146456.0,145481.0,144293.0,143593.0,146431.0,147554.0,150170.0,158303.0,158829.0,161210.0,152756.0,152673.0,147600.0,146737.0,148949.0,156746.0,162162.0,162046.0,158640.0,155620.0,155335.0,150978.0,148323.0,152621.0,155172.0,157922.0,158815.0,160232.0,163835.0,160424.0,161119.0,157509.0,158370.0,156551.0,154626.0,151602.0,153970.0,159659.0,169009.0,171510.0,174603.0,172819.0,173257.0,168654.0,171315.0,171982.0,163495.0
394439,137,"Canton, OH",msa,OH,139822.0,145165.0,145889.0,147878.0,145481.0,146582.0,167208.0,169661.0,166505.0,145575.0,144794.0,145879.0,145085.0,145465.0,153112.0,150976.0,158448.0,156713.0,155706.0,150442.0,148771.0,151441.0,150659.0,167663.0,177405.0,182149.0,201734.0,196989.0,201941.0,170570.0,166677.0,162516.0,162342.0,173205.0,175913.0,175923.0,169808.0,173982.0,169534.0,176175.0,171708.0,176665.0,179558.0,180012.0,180258.0,177482.0,189194.0,189464.0,190904.0,181220.0,194291.0,195884.0,199320.0,188890.0,185482.0,186786.0,191997.0,192441.0,187529.0,186059.0,195552.0,205015.0,198745.0,191038.0,186511.0,195914.0,210164.0
395070,138,"Savannah, GA",msa,GA,288187.0,300046.0,317504.0,333873.0,318914.0,292353.0,278355.0,283765.0,286824.0,291693.0,296617.0,371834.0,365905.0,360450.0,288208.0,284231.0,306330.0,300185.0,303427.0,290459.0,287948.0,268641.0,255065.0,241727.0,258679.0,277253.0,302084.0,306906.0,301102.0,335317.0,343189.0,349465.0,321759.0,315135.0,336727.0,334307.0,336019.0,321494.0,326517.0,338016.0,388762.0,387710.0,387125.0,369829.0,410891.0,424789.0,405579.0,371612.0,360955.0,359807.0,387629.0,384335.0,377669.0,361828.0,379958.0,396310.0,410078.0,402194.0,405617.0,393374.0,395484.0,410163.0,422407.0,445443.0,420911.0,412654.0,389412.0
394372,140,"Beaumont, TX",msa,TX,171825.0,170083.0,170038.0,170167.0,171594.0,173228.0,173066.0,171003.0,168397.0,171212.0,176294.0,179706.0,181576.0,185970.0,188553.0,190921.0,255860.0,256955.0,256201.0,189878.0,183810.0,182728.0,187884.0,195492.0,193732.0,192516.0,193360.0,191724.0,190387.0,189659.0,193795.0,198408.0,210253.0,218668.0,221031.0,215682.0,210395.0,244051.0,243344.0,246445.0,212996.0,218402.0,221066.0,229481.0,227735.0,229171.0,226968.0,225840.0,228267.0,226412.0,225474.0,216096.0,215164.0,209355.0,212378.0,218355.0,220352.0,222005.0,218961.0,221902.0,216560.0,218134.0,217837.0,220663.0,212652.0,217219.0,219519.0
395096,141,"Shreveport, LA",msa,LA,164799.0,166624.0,160529.0,159929.0,150994.0,151348.0,158698.0,173217.0,177661.0,166670.0,161395.0,159616.0,165366.0,168527.0,167190.0,170047.0,167585.0,171911.0,180258.0,182759.0,180153.0,163485.0,164084.0,164213.0,170657.0,236873.0,244370.0,251145.0,,194498.0,196988.0,200772.0,203034.0,204517.0,215954.0,215200.0,214416.0,199083.0,215473.0,214718.0,214915.0,201770.0,206945.0,209171.0,215430.0,219463.0,228809.0,228984.0,225107.0,219007.0,210254.0,212287.0,207680.0,216063.0,214725.0,217052.0,214161.0,217748.0,224603.0,227067.0,216728.0,203253.0,201776.0,209697.0,209913.0,209544.0,214975.0
395164,142,"Trenton, NJ",msa,NJ,292920.0,279839.0,276158.0,282246.0,282284.0,276514.0,277693.0,286423.0,296066.0,295406.0,289732.0,287803.0,289997.0,298591.0,313391.0,319899.0,313529.0,300624.0,298503.0,308814.0,325412.0,327962.0,317611.0,313061.0,305240.0,320114.0,332981.0,356734.0,358569.0,360156.0,357282.0,367652.0,378068.0,383559.0,377096.0,381332.0,380033.0,392443.0,384928.0,395648.0,396303.0,393642.0,395855.0,392310.0,393827.0,399409.0,401976.0,406554.0,398580.0,398369.0,416973.0,409335.0,417001.0,398679.0,409330.0,401395.0,400017.0,407609.0,433802.0,436760.0,460306.0,449820.0,474724.0,450610.0,450567.0,442843.0,442997.0
394875,143,"Montgomery, AL",msa,AL,163617.0,265010.0,278961.0,275441.0,180137.0,171089.0,178010.0,175533.0,176606.0,173758.0,172434.0,176651.0,176331.0,171584.0,172684.0,171146.0,177538.0,192036.0,185271.0,185625.0,176148.0,182646.0,191519.0,192722.0,195116.0,257292.0,262442.0,266354.0,203367.0,198430.0,199605.0,205455.0,211639.0,205244.0,213779.0,217167.0,240820.0,215088.0,272964.0,253693.0,273725.0,283445.0,284328.0,285974.0,227828.0,230845.0,229382.0,229113.0,370370.0,360194.0,351745.0,206740.0,219100.0,305784.0,309689.0,310315.0,241189.0,246575.0,249671.0,248513.0,232679.0,215334.0,195867.0,229828.0,251864.0,248476.0,231933.0
